theorem_complex_id,branch,defect_norm,classification_residual
lyapunov_weight_lattice_fourier_pisot_spectral_purification,failure_dual,1.023815393447876,0.0
dfi_entropy_plateau_dfi_divergence_spiking,failure_dual,1.9492852687835693,0.0
pv_inflation_pure_point_diffraction_non_pv_salem_leakage,failure_dual,3.9761767387390137,0.0
parseval_energy_bijection_for_epochs_energy_mass_imbalance,failure_dual,2.44490385055542,0.0
autocorrelation_completeness_of_weight_trajectories_continuous_mixing_component,failure_dual,1.2694607973098755,0.0
flowpoint_flip_parity_constraint_parity_broken_bias_spurious_lines,failure_dual,4.0583672523498535,0.0
qenn::dual_support_equivalence_support_mismatch_leakage,failure_dual,1.1229360103607178,0.0
bounded_remainder_drift_in_updates_long_memory_heavy_tail_drift,failure_dual,0.2178710699081421,0.0
inflation_collapse_support_invariance_nonlinear_sideband_mixing,failure_dual,2.4193568229675293,0.0
epoch_operator_closure_backprop_optimiser_induced_resonance,failure_dual,0.0030303962994366884,0.0
entropy_balanced_landscape_no_sharp_minima_sharp_minima_trap,positive,0.0,0.0
hyper_parameter_stability_wedge_instability_lobe,positive,0.0,0.0
